school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,M,17,U,GT3,A,4,4,services,services,reputation,mother,1,4,0,no,yes,no,no,yes,yes,yes,yes,5,2,2,2,2,4,1,13,9,11
GP,M,17,R,GT3,T,4,3,other,other,reputation,mother,1,4,3,yes,yes,no,no,yes,no,yes,yes,4,4,4,1,1,3,0,9,10,0
GP,F,17,U,GT3,T,4,3,services,other,other,mother,2,2,1,no,yes,no,yes,yes,yes,yes,yes,4,4,4,1,5,3,2,6,6,8
MS,M,18,R,GT3,T,2,2,teacher,other,reputation,father,2,2,1,no,no,no,yes,yes,yes,yes,yes,4,2,3,2,2,4,1,10,10,10
MS,M,17,U,GT3,T,4,3,other,other,home,mother,1,3,0,no,no,no,yes,yes,yes,no,yes,3,4,2,1,4,3,13,16,17,16
MS,F,16,R,GT3,T,1,2,teacher,services,home,mother,2,1,0,no,yes,yes,yes,no,yes,yes,yes,5,4,3,1,1,5,11,7,4,7
MS,M,17,U,LE3,T,3,2,other,services,other,mother,1,3,0,no,no,yes,yes,yes,yes,yes,no,4,4,3,1,1,4,6,8,9,9
GP,F,16,U,GT3,T,3,3,other,services,other,father,1,3,0,no,yes,no,no,yes,no,yes,yes,4,4,3,1,5,3,3,11,13,11
GP,F,15,U,LE3,T,3,3,at_home,other,reputation,mother,3,1,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,1,4,1,14,15,15
MS,F,17,R,GT3,T,3,4,services,at_home,other,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,1,3,4,1,5,5,6,9,11,12
MS,F,16,R,LE3,T,4,1,teacher,health,course,father,1,3,1,no,yes,no,yes,no,yes,no,yes,5,5,2,2,1,3,0,11,11,7
GP,M,19,R,GT3,T,4,4,services,other,reputation,mother,4,2,0,no,no,no,no,yes,no,no,yes,5,2,3,2,1,1,1,13,13,13
MS,M,15,R,LE3,T,1,3,teacher,services,home,mother,3,4,0,no,no,yes,no,yes,yes,yes,no,5,3,4,1,4,5,10,5,5,6
GP,M,16,U,GT3,T,2,2,other,other,reputation,other,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,2,3,8,9,9,12
GP,F,17,R,LE3,T,1,4,services,teacher,course,father,1,1,3,no,yes,no,no,yes,no,yes,no,3,2,2,2,4,3,10,9,7,8
MS,M,18,U,GT3,T,4,1,at_home,at_home,home,mother,3,2,2,no,yes,yes,yes,yes,yes,yes,no,5,3,4,1,3,5,4,12,12,0
GP,F,16,R,GT3,T,2,3,at_home,health,other,mother,3,2,0,no,yes,yes,yes,no,yes,yes,no,3,4,4,1,1,2,4,8,8,12
GP,M,16,U,GT3,T,4,4,other,services,other,other,2,2,0,yes,yes,no,no,yes,yes,yes,no,4,4,2,4,2,3,6,11,11,12
GP,F,15,U,GT3,T,2,4,services,other,reputation,father,1,3,0,no,no,no,yes,yes,no,no,no,3,4,2,1,3,3,1,20,19,20
GP,F,17,R,GT3,T,2,4,other,services,course,other,2,1,1,no,yes,no,no,yes,yes,no,no,3,2,3,1,4,5,3,6,8,7
GP,M,16,U,LE3,T,4,3,other,other,other,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,4,2,2,2,1,13,14,15
MS,F,17,R,LE3,T,2,3,services,at_home,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,3,2,3,1,2,5,1,18,19,18
MS,M,17,U,GT3,A,4,3,other,other,other,mother,1,2,0,no,no,yes,no,no,yes,no,yes,3,3,4,1,2,4,0,11,12,12
GP,M,15,U,GT3,T,2,1,other,health,home,father,1,3,0,no,yes,yes,no,no,yes,yes,yes,4,5,3,1,4,5,4,12,14,11
GP,M,18,U,GT3,T,3,4,services,other,home,mother,1,3,0,no,no,no,yes,yes,yes,yes,no,5,2,3,1,1,5,5,8,5,6
GP,F,17,U,GT3,T,2,4,teacher,health,home,father,1,3,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,2,4,13,11,10
GP,M,17,R,LE3,T,3,3,teacher,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,4,1,1,1,0,14,16,15
GP,F,16,U,GT3,T,3,3,at_home,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,5,3,2,1,4,1,12,11,11
MS,M,17,U,GT3,A,1,1,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,no,no,no,4,3,2,1,1,5,5,7,9,10
GP,M,16,U,LE3,T,1,2,other,other,course,father,2,2,0,no,no,yes,yes,yes,yes,yes,yes,5,3,3,4,3,4,1,12,11,9
GP,F,15,U,GT3,T,3,3,services,health,course,mother,1,4,0,no,no,no,no,yes,yes,yes,yes,5,1,3,1,1,5,0,12,13,12
